status,paid_only,is_favor,frequency,progress,stat.question_id,stat.question__article__live,stat.question__article__slug,stat.question__article__has_video_solution,title,slug,is_hidden,total_accepted,total_submissions,id,stat.is_new_question,difficulty.level
,False,False,0,0,2714,,,,Left and Right Sum Differences,left-and-right-sum-differences,False,35989,40611,2574,False,1
,False,False,0,0,2713,,,,Find the Divisibility Array of a String,find-the-divisibility-array-of-a-string,False,19189,61985,2575,False,2
,False,False,0,0,2712,,,,Find the Maximum Number of Marked Indices,find-the-maximum-number-of-marked-indices,False,13611,36348,2576,False,2
,False,False,0,0,2711,,,,Minimum Time to Visit a Cell In a Grid,minimum-time-to-visit-a-cell-in-a-grid,False,6102,17157,2577,False,3
,False,False,0,0,2710,,,,Minimum Operations to Reduce an Integer to 0,minimum-operations-to-reduce-an-integer-to-0,False,15032,30312,2571,False,2
,False,False,0,0,2709,,,,Count the Number of Square-Free Subsets,count-the-number-of-square-free-subsets,False,4711,23178,2572,False,2
,False,False,0,0,2708,,,,Find the String with LCP,find-the-string-with-lcp,False,2801,7804,2573,False,3
,False,False,0,0,2707,,,,Merge Two 2D Arrays by Summing Values,merge-two-2d-arrays-by-summing-values,False,22313,30488,2570,False,1
,False,False,0,0,2706,,,,Minimum Score by Changing Two Elements,minimum-score-by-changing-two-elements,False,12618,26514,2567,False,2
,False,False,0,0,2705,,,,Minimum Impossible OR,minimum-impossible-or,False,10966,19105,2568,False,2
,False,False,0,0,2704,,,,Maximum Difference by Remapping a Digit,maximum-difference-by-remapping-a-digit,False,17562,29146,2566,False,1
,False,False,0,0,2703,,,,Handling Sum Queries After Update,handling-sum-queries-after-update,False,3139,12122,2569,False,3
,True,False,0,0,2702,,,,Maximum Number of Integers to Choose From a Range II,maximum-number-of-integers-to-choose-from-a-range-ii,False,708,1558,2557,False,2
,False,False,0,0,2701,,,,Subsequence With the Minimum Score,subsequence-with-the-minimum-score,False,4389,13636,2565,False,3
,False,False,0,0,2700,,,,Substring XOR Queries,substring-xor-queries,False,9397,28050,2564,False,2
,False,False,0,0,2699,,,,Count the Number of Fair Pairs,count-the-number-of-fair-pairs,False,16667,52161,2563,False,2
,False,False,0,0,2698,,,,Find the Array Concatenation Value,find-the-array-concatenation-value,False,28406,40690,2562,False,1
,False,False,0,0,2696,,,,The Number of Beautiful Subsets,the-number-of-beautiful-subsets,False,9700,34672,2597,False,2
,False,False,0,0,2695,,,,Find Score of an Array After Marking All Elements,find-score-of-an-array-after-marking-all-elements,False,10016,19166,2593,False,2
,True,False,0,0,2693,,,,Maximum Price to Fill a Bag,maximum-price-to-fill-a-bag,False,712,1033,2548,False,2
,False,False,0,0,2692,,,,Take Gifts From the Richest Pile,take-gifts-from-the-richest-pile,False,26641,40093,2558,False,1
,False,False,0,0,2691,,,,Count Vowel Strings in Ranges,count-vowel-strings-in-ranges,False,19740,38472,2559,False,2
,False,False,0,0,2690,,,,House Robber IV,house-robber-iv,False,10100,25443,2560,False,2
,False,False,0,0,2689,,,,Rearranging Fruits,rearranging-fruits,False,6244,18226,2561,False,3
,True,False,0,0,2688,,,,Design a Todo List,design-a-todo-list,False,377,624,2590,False,2
