status,paid_only,is_favor,frequency,progress,stat.question_id,stat.question__article__live,stat.question__article__slug,stat.question__article__has_video_solution,title,slug,is_hidden,total_accepted,total_submissions,id,stat.is_new_question,difficulty.level
,True,False,0,0,3352,,,,Find Pattern in Infinite Stream II,find-pattern-in-infinite-stream-ii,False,195,256,3037,True,3
,True,False,0,0,3343,,,,Count Numbers With Unique Digits II,count-numbers-with-unique-digits-ii,False,881,968,3032,False,1
,True,False,0,0,3333,,,,Find Pattern in Infinite Stream I,find-pattern-in-infinite-stream-i,False,366,609,3023,False,2
,False,False,0,0,3330,,,,Modify the Matrix,modify-the-matrix,False,28821,42890,3033,False,1
,False,False,0,0,3329,,,,Find the Length of the Longest Common Prefix,find-the-length-of-the-longest-common-prefix,False,12962,46435,3043,False,2
,True,False,0,0,3323,,,,Maximum Number of Removal Queries That Can Be Processed I,maximum-number-of-removal-queries-that-can-be-processed-i,False,231,522,3018,False,3
,False,False,0,0,3321,,,,Type of Triangle,type-of-triangle,False,29780,76779,3024,False,1
,False,False,0,0,3320,,,,Maximum Number of Operations With the Same Score I,maximum-number-of-operations-with-the-same-score-i,False,23606,47597,3038,False,1
,False,False,0,0,3318,,,,Maximum Number of Operations With the Same Score II,maximum-number-of-operations-with-the-same-score-ii,False,11916,40641,3040,False,2
,False,False,0,0,3317,,,,Maximum Palindromes After Operations,maximum-palindromes-after-operations,False,11542,28183,3035,False,2
,True,False,0,0,3315,,,,Maximum Number of Intersections on the Chart,maximum-number-of-intersections-on-the-chart,False,973,2016,3009,False,3
,False,False,0,0,3314,,,,Most Frequent Prime,most-frequent-prime,False,10553,22130,3044,False,2
,False,False,0,0,3312,,,,Number of Changing Keys,number-of-changing-keys,False,32552,41037,3019,False,1
,False,False,0,0,3311,,,,Ant on the Boundary,ant-on-the-boundary,False,33345,44175,3028,False,1
,False,False,0,0,3310,,,,Count the Number of Houses at a Certain Distance II,count-the-number-of-houses-at-a-certain-distance-ii,False,2139,11053,3017,False,3
,False,False,0,0,3309,,,,Count Prefix and Suffix Pairs I,count-prefix-and-suffix-pairs-i,False,22874,36775,3042,False,1
,False,False,0,0,3308,,,,Apply Operations to Make String Empty,apply-operations-to-make-string-empty,False,18524,34293,3039,False,2
,False,False,0,0,3305,,,,Count Prefix and Suffix Pairs II,count-prefix-and-suffix-pairs-ii,False,4060,21990,3045,False,3
,True,False,0,0,3304,,,,Maximum Subtree of the Same Color,maximum-subtree-of-the-same-color,False,676,996,3004,False,2
,False,False,0,0,3303,,,,Find Beautiful Indices in the Given Array II,find-beautiful-indices-in-the-given-array-ii,False,8264,36420,3008,False,3
,True,False,0,0,3302,,,,Viewers Turned Streamers,viewers-turned-streamers,False,440,1045,2995,False,3
,True,False,0,0,3301,,,,Friday Purchases II ,friday-purchases-ii,False,422,579,2994,False,3
,True,False,0,0,3300,,,,Friday Purchases I,friday-purchases-i,False,623,825,2993,False,2
,False,False,0,0,3299,,,,Find the Maximum Number of Elements in Subset,find-the-maximum-number-of-elements-in-subset,False,17317,72215,3020,False,2
,False,False,0,0,3298,,,,Maximize Consecutive Elements in an Array After Modification,maximize-consecutive-elements-in-an-array-after-modification,False,4298,16085,3041,False,3
,False,False,0,0,3297,,,,Minimum Time to Revert Word to Initial State I,minimum-time-to-revert-word-to-initial-state-i,False,16700,42897,3029,False,2
,False,False,0,0,3296,,,,Minimum Time to Revert Word to Initial State II,minimum-time-to-revert-word-to-initial-state-ii,False,9122,26120,3031,False,3
,True,False,0,0,3294,,,,Number of Self-Divisible Permutations,number-of-self-divisible-permutations,False,716,930,2992,False,2
,False,False,0,0,3291,,,,Find if Array Can Be Sorted,find-if-array-can-be-sorted,False,19672,39032,3011,False,2
,False,False,0,0,3290,,,,Number of Subarrays That Match a Pattern II,number-of-subarrays-that-match-a-pattern-ii,False,8863,29009,3036,False,3
,True,False,0,0,3288,,,,Top Three Wineries ,top-three-wineries,False,530,988,2991,False,3
,True,False,0,0,3287,,,,Loan Types,loan-types,False,903,1425,2990,False,1
,True,False,0,0,3286,,,,Class Performance,class-performance,False,885,1007,2989,False,2
,True,False,0,0,3285,,,,Manager of the Largest Department,manager-of-the-largest-department,False,740,980,2988,False,2
,True,False,0,0,3284,,,,Find Expensive Cities,find-expensive-cities,False,851,1073,2987,False,1
,True,False,0,0,3283,,,,Find Third Transaction,find-third-transaction,False,667,1295,2986,False,2
,True,False,0,0,3282,,,,Calculate Compressed Mean,calculate-compressed-mean,False,793,900,2985,False,1
,True,False,0,0,3281,,,,Find Peak Calling Hours for Each City,find-peak-calling-hours-for-each-city,False,593,1002,2984,False,2
,False,False,0,0,3279,,,,Alice and Bob Playing Flower Game,alice-and-bob-playing-flower-game,False,17223,36782,3021,False,2
,False,False,0,0,3278,,,,Find the Number of Ways to Place People I,find-the-number-of-ways-to-place-people-i,False,11969,30006,3025,False,2
,False,False,0,0,3277,,,,Find the Number of Ways to Place People II,find-the-number-of-ways-to-place-people-ii,False,7539,15711,3027,False,3
,False,False,0,0,3276,,,,Minimum Number of Pushes to Type Word II,minimum-number-of-pushes-to-type-word-ii,False,19828,28492,3016,False,2
,False,False,0,0,3275,,,,Minimum Number of Pushes to Type Word I,minimum-number-of-pushes-to-type-word-i,False,27208,43582,3014,False,1
,True,False,0,0,3273,,,,Most Expensive Item That Can Not Be Bought,most-expensive-item-that-can-not-be-bought,False,824,1021,2979,False,2
,False,False,0,0,3272,,,,Find the Grid of Region Average,find-the-grid-of-region-average,False,8385,19486,3030,False,2
,False,False,0,0,3271,,,,Count the Number of Houses at a Certain Distance I,count-the-number-of-houses-at-a-certain-distance-i,False,15432,28619,3015,False,2
,False,False,0,0,3270,,,,Minimum Moves to Capture The Queen,minimum-moves-to-capture-the-queen,False,14649,73410,3001,False,2
,False,False,0,0,3269,,,,Number of Subarrays That Match a Pattern I,number-of-subarrays-that-match-a-pattern-i,False,21445,32725,3034,False,2
,True,False,0,0,3268,,,,Minimum Number of Coins for Fruits II,minimum-number-of-coins-for-fruits-ii,False,345,604,2969,False,3
,False,False,0,0,3267,,,,Find Longest Special Substring That Occurs Thrice I,find-longest-special-substring-that-occurs-thrice-i,False,17682,42590,2981,False,2
